username,password,isAdmin
AaronSinergia,AaronSinergia123,Yes
1GYS4JKJ6HR123456,Cadillac,No
KM8SRDHF7FU1234,Hyundai,No
5TDZARFH2ES123456,Toyota,No
5TDZARFH2ES123256,Toyota,No
2GKALSEK7G6123456,GMC,No
2GKALSCK7G6123456,GMC,No
1HGCR2F34FA123456,Honda,No
1HGCR2F3NVV123456,Honda,No
1GNKVJKD0DJ123456,Chevrolet,No
1GNKVJKD0123456,Chevrolet,No
1FMCU0G94EUC12345,Ford,No
1FVMU0G94EUC12345,Ford,No
5NPD84LF2JH123456,Hyundai,No
5NMV84LF2JH123456,Hyundai,No
584LF2NVMJH123456,Hyundai,No
2HKRM3H70GH123456,Honda,No
1C4PJLDS3FW123456,Jeep,No
1HGCP26369A123456,Honda,No
2T3BF4DV0BW123456,Toyota,No
1FMZU73K53UA12345,Ford,No
WBA5A5C54FD123456,BMW,No
WBA5A5C54PD123456,BMW,No
5LMCJ2D96FUJ12345,Lincoln,No
5LMCJ2D96FRJ12345,Lincoln,No
1FADP3J20HL123456,Ford,No
1FADP3J20UL123456,Ford,No
2GNAXUEV9K1234567,Chevrolet,No
2GNAXUEV9LC1234567,Chevrolet,No
WAUZZZ8V6EA123456,Audi,No
WAUZZZ8V6AJA123456,Audi,No
JTEBU5JR8G1234567,Toyota,No
JTEBIFA5JR8G1234567,Toyota,No
1HGCV1F3XEA123456,Honda,No
1HGCV1F3CVA123456,Honda,No
5J6RM4H71GL123456,Honda,No
5J6RJCV4H71GL123456,Honda,No
3D73Y4CL5AG123456,Ram,No
3D73Y4CL5VKJG123456,Ram,No
2HNYD2H22CH123456,Acura,No
2HNYD2H22VKLMH123456,Acura,No
1ZVBP8AM9E5323456,Ford,No
1ZVBP8AMCVJ5323456,Ford,No
5TDBK3EHXCS123456,Toyota,No
5TDBK3VKMXCS123456,Toyota,No
2GKALSEK5E6123456,GMC,No
2GKKCLSEK5E6123456,GMC,No
1HGCR2F38EA123456,Honda,No
1HGCR2F38MBVA123456,Honda,No
3LN6L2G99ER123456,Lincoln,No
3LN6L2G99NVBB123456,Lincoln,No
5N1AT2MTXFC123456,Nissan,No
5N1AT2MTXC123456,Nissan,No
1GKS2HKJ1GR123456,GMC,No
1GKS2HKJ1R123456,GMC,No
2C3CDZAG8CH123456,Dodge,No
2C3CDZAG8C123456,Dodge,No
JTNB11HK6JH123456,Toyota,No
JTNB11HK6H123456,Toyota,No
JH4DC53014C012345,Acura,No
5XYZU3LB6GG123456,Hyundai,No
5XYZU3LB6G123456,Hyundai,No
5NPD84LF6JH123456,Hyundai,No
1FTFW1ET9EFD12345,Ford,No
1FTFW1ET9D12345,Ford,No
1FAFP48Y83F301234,Ford,No
5TDBK3EH9CS123456,Toyota,No
5TDBK39CS123456,Toyota,No
WDDUG8CBXEA123456,Mercedes,No
WDDRG8CBXEA123456,Mercedes,No
1G1BE5SM6G7246789,Chevrolet,No
1G1BE5SM6G7267789,Chevrolet,No
2C3CDXJG5KH123456,Dodge,No
2C3CDXPG5KH123456,Dodge,No
2HKRM4H73EH123456,Honda,No
2HKRM4H73EH12456,Honda,No
1C4RJFBG8EC123456,Jeep,No
1C4RJWBG8EC123456,Jeep,No
KNMAT2MTXHP123456,Nissan,No
KNMAT2QTXHP123456,Nissan,No
19XFB2F50CE123456,Honda,No
19XLB2F50CE123456,Honda,No
1GNSCBE01ER123456,Chevrolet,No
1GNSCBW01ER123456,Chevrolet,No
YV1MW382682123456,Volvo,No
YV3MW382682123456,Volvo,No
5YJSA1H18FFP12345,Tesla,No
5YJSS1H18FFP12345,Tesla,No
1GNKRFKD6GJ123456,GMC,No
1GNKRFKD6JJ123456,GMC,No
2HKRM4H36EH123456,Honda,No
2HKRM4H36LH123456,Honda,No
1LNHM81W95Y123456,Lincoln,No
1LNEM81W95Y123456,Lincoln,No
1C6RR7GT1DS123456,Ram,No
1C6RR7GV1DS123456,Ram,No
3C4PDCAB1HT123456,Fiat,No
3C4PDCAM1HT123456,Fiat,No
JM1GJ1V62F1234567,Mazda,No
JM1GJ1H62F1234567,Mazda,No
